COMENTARIO;frecuencia
ahora el ingreso es mas tedioso con las letras y numeros que se ven borrosos y no se entiende;1
no funcionan las coordenadas;1
no funcional para usar en el celular;1
no funcionaba la pagina;1
no funcionaaaa;1
no funciona ya que no carga ni el mapa de google earth ni otros datos;1
no funciona visor;1
no funciona traten de actualizarlo;1
no funciona su pagina para retroceder;1
no funciona su pagina;1
no hace la busqueda;1
no habrio lo solicitado por el internet pesimo pero gracias de todas maneras;1
no habre el plano de ubicacion;1
no habre aun 8 30 am;1
no habre;1
no habia servicio dispnible;1
no habia mayor informacion relevante;1
no habia acceso a algunos asientos de la partida;1
no ha cargado la informacion;1
no gracias;1
no genero el pdf ni permitio la descarga solo la visualizacion;1
no geenra nada no funciona la pagina;1
no garga;1
no garantiza la informacion;1
no funviona;1
no funicona;1
no hay asientos en la partida;1
no hay asientos en el;1
no hay acceso para visualizar;1
no hay acceso para realizar una impresion de manera normal;1
no hay acceso esta fallando su sistema no habre la bgr materia de consulta;1
no hay acceso a los planos;1
no hay acceso a los asientos;1
no hay acceso a la imagen;1
no halle las paginas de la partida;1
no hagan tan complicado el codigo capcha;1
no hacerlo tan complicado y en mucho menos tiempo;1
no hacer tanta encuesta;1
no hacer complicado el codigo capcha el poner en minuscula y mayuscula genera confusiones y demora en el acceso al sistema;1
no hacen sorteos a favor de los usuarios cualquie r cosa por mas chiquita que sea siempre es recomendable;1
no hace la busqueda por la partida que sale en el buscador;1
ahora con la digitalizacion se deberia poder bajar las partidas por internet gratuitamente y obvio despues si necesitan van a tener que sacar una copia fedateada;1
no hay comentario todo esta bien;1
no hay coincidensia con las demas bases graficas mal trabajo de campo generan problemas;1
no hay coincidencia de areas reales;1
no hay casi nada de predios;1
no hay busqueda por documento de identidad para saber cuantas partidas tengo a mi nombre;1
no hay boton para volver atras y buscar otra partida antes que acabe tu tiempo de sesion;1
no hay boton para retroceder y asi se pierd el tiempo de sesion ya que te regresa a la pagina de inicio y luego aparece una ventana emergente que dice hay un sesion incidad pero no hay manera de regresar al tiempo recurrente de sesion;1
no hay boton para imprimir;1
no hay boton de salida para regresar a pagina inicial y buscar otra partida;1
no hay boton de regreso para buscar otras partidas;1
no hay boton de regresar;1
no hay botom para hacer otra busqueda;1
no hay bgr;1
no hay base grafica;1
no hay base de datos inutil el servicio;1
no hay forma de imprimir el documento;1
no hay forma de cambiar de numero de partida;1
no hay expliacion de como usar la ubicacion;1
no hay el predio que busco actualicen;1
no hay documentos a la vista;1
no hay digitalizado las fichas;1
no hay detalles sobre las propiedades privadas;1
no hay detalles de este predio parece un juego de sunarp;1
no hay datos suficientes;1
ahora;1
no hay data de tarapoto;1
no hay contenido;1
no hay conexion con el servidor;1
no hay como regresar para realizar otra busqueda mas facilmente hay que salir y volver a entrar;1
no hay como imprimir el documento;1
no hay comentarios por ahora satisfecho con la informacion gracias;1
no hay informacion completa;1
no hay imagen satelital;1
no hay hoja de resumen;1
no hay hoja completa;1
no hay grafico de mis consultas registrales;1
no hay grafico;1
no hay grafica;1
no hay formade ver otra partida despues de ver una hay que salir del sistema y volver a ingresar;1
no hay forma para descargar y asi evitar acudir a sunarp;1
no hay forma de volver y buscar otra partida mientras la session sigue activa;1
no hay forma de volver para consultar otra partida;1
no hay forma de volver a la pagina anterior y realizar otra busqueda;1
no hay forma de volver a la busqueda luego de visualizar una partida;1
no hay forma de retroceder y seguir con otra consulta sin cerrar sesion;1
no hay forma de retornar a la pagina principal y te da pocas opciones de ingreso;1
no hay la informacion solicitada;1
no hay la direccion que buscas;1
no hay iunflrmacion del dueno de la casa;1
no hay instrucciones para descargar;1
no hay informacion suficiente;1
no hay informacion sobre iquitos o maynas;1
no hay informacion sobre hipoteca;1
no hay informacion grafica;1
no hay informacion del predio que busco;1
no hay informacion del estado del predio medidas colindantes un simple poligono;1
no hay informacion del codigo del predio en particular toma zonas mas no el predio en particular;1
no hay informacion de zonas rurales parece que no tubieran dueno sin embargo se sabe que mtienen dueno;1
no hay informacion de lotes;1
no hay informacion de los propietarios;1
no hay informacion de las calles;1
no hay informacion complneta;1
no hay mucha nitidez en el plano de arequipa no pude obtener ninguna informacion al hacer click en el inmueble que busque;1
no hay mucha informacion del inmueble;1
no hay medidas para verificacion de predio;1
no hay mayor informacion de refencias;1
no hay mas opciones;1
no hay mas datos;1
no hay mapa para buscar;1
no hay mapa del predio;1
no hay manera de recuperar contrasena no se si hay atencion las 24 hs;1
no hay los registros actualizados;1
no hay la ubicacion del predio en la bgr;1
no hay la posibilidad de descargar el documento;1
ahira si esta bien;1
no hay la opcion para descargar;1
no hay la opcion de poder decsrgar;1
ahgha;1
no hay opcion para impresion;1
no hay opcion para descargar;1
no hay opcion de regresar para descargar la ficha;1
no hay opcion de regresar a la pagina principal de poner los datos eso se debe mejorar;1
no hay opcion de imprimir;1
no hay opcion de consulta por el numer de solicitud de registro de predios;1
no hay opcion de buscar otra partida con la mismo usuario;1
no hay opcion a retroceder para realizar otra consulta sin cerrar sesion;1
no hay ninguna sugerencia;1
no hay ninguna partida;1
no hay nada que mejorar esta muy bien;1
no hay nada bueno;1
no hay nada;1
no hay mucho personal para poder orientar;1
no hay muchas opciones;1
no hay pestanas para avanzar a las siguientes hojas;1
no hay partidas;1
no hay para pagar;1
no hay para imprimir;1
no hay para descargar;1
no hay paneo carga muy lento los poligonos no se ajustan ala realidad inscriben y han inscrito cualquier cosa esos son anos de retraso para el peru y hacen perden miles de horas hombre en tramites absurdos gracias a su disque seguridad juridica;1
no hay orden para encontrar una propiedad tiene que hacer un programa con mas inteligencia cobran tanto y no dan un buen servicio;1
no hay opciones de imprimir seria bueno que pongan un anuncio que no se puede imprimir en caso sea asi;1
no hay opciones;1
no hay opcion para su impresion gracias;1
no hay opcion para retroceder;1
no hay opcion para retiorno de la pagina anterior;1
no hay opcion para regresar a la pagina de busqueda;1
no hay opcion para poder ver los demas asientos y tengo que volvera ingresar;1
no hay opcion para imprimir si lo hay no es facil ubicar la opcion;1
no hay opcion para imprimir o al menos no he encontrado la opcion de ser lo ultimo habria que hacer mas amigable esa opcion para poder ubicarla facilmente gracias;1
no hay tiempo suficiente;1
no hay tanta informacion;1
no hay sugerencias porque todo esta bien;1
no hay sugerencia al contrario felicitar por las facilidades que dan;1
no hay sugerencia;1
4wtgergrgrsg;1
4t tyujfwtge4r4twwe23 qr5tgyh4a6y5 a46u 34u5 ye5yqr;1
4rfg;1
4njtetes;1
4muy bue4no;1
4ke6;1
4esgaedrwqd;1
4e4ty35y;1
4defd;1
48ipnikmj;1
4899 87;1
522;1
51owdfeef;1
516;1
5155;1
no hay servicio de visualizacion;1
no hay resultados alguno;1
no hay resultados;1
no hay resultado;1
no hay quien te asesore pedi una partida yy me sale cualqueir cosa;1
no hay quejas;1
no hay poligonos cuando se buscan;1
no hay planos;1
no hay plano de ubicacion es decir no hay mapa no se puede mostrar;1
no he podido hallar ni por partida ni por el mapa el registro de inmuebele;1
no he podido encontrar lo que estoy buscando;1
no he podido acceder a los planos la pagina no ha cargado estoy intentando ahora con otro navegador pero tampoco puedo ingresar;1
no he llegado a encontrar la base grafica que estaba buscando pero es una maravillosa herramienta que ayuda bastante en temas de predios entiendo que no todas las partidas estan subidas ojala con el tiempo las suban todas;1
no he encontrado ninguna de las partidas que he buscado;1
no he encontrado lo que estoy buscando;1
no he encontrado la base grafica de la zona de vichaycoto huanuco supuestamente se hizo un levantamiento topografico catastral en dos ocasiones;1
no haybuena explicacion;1
no hay una partida registral;1
no hay una opcion que me permita regresar al menu de busqueda al regresar a la pagina anterior pierdo mi busqueda y tengo que iniciar una nueva sesion;1
no hay una buena informacion de como se debe de llenar los formatos;1
no hay un telefono a donde llamar para quienes estamos fuera del pais quize imprimir mi numero de partida para enviarlo a luz del sur y no me permite imprimir el documento;1
no hay un boton que te permita hacer una nueva busqueda;1
no hay un boton para volver atras y buscar otra partida y no dejar que tu tiempo de sesion expire si retrocedes por o vas para atras te manda un mensaje tienes una sesion iniciada y te cuenta como un nuevo uso de sesiones por dia;1
no hay un boton para retornar;1
no hay trazabilidad dificultad para leer;1
no hubo base grafica;1
no he terminado;1
no he tenido facil acceso porque tenia que ingresar nuevamente;1
no he sido atendido;1
no he podudo entrar a la pagina;1
no he podidovisualziar todas las paginas pero es de gran ayuda;1
no he podido vizualizar;1
no he podido visualizar la partida;1
no he podido visualisar ninguna partida;1
no he podido ver nada;1
no he podido ver mi predio;1
no he podido ubicar el inmueble pese a contar con el numero de la partida registral y me sale que no se encontro predio grafico;1
no he podido ni he tenido acceso para imprimirlo;1
no he podido localizar partida registral en lima callao y departamento de tumbes;1
no he podido ingresar al mapa;1
no he podido imprimir;1
no indica como sacr o en que rubro pagar;1
no indica area;1
no indica al propietario deberia figurar;1
no indica a nombre de quien esta el predio;1
no imprime hoja resumen;1
no imprime;1
no imp rime;1
no hya para imprimir;1
no hya base grafica de zr huanta;1
no hubo visualizacion de las partidas iniciales ya que salia error;1
no hubo servicio no se visualizo nada es la segunda vez que ocurre;1
no hubo servicio;1
no hubo problema;1
no hubo ningun layer activado y estuvo pesado;1
no hubo informacion necesaria;1
no hubo informacion;1
no inlcuye el registro publico de hidrocarburos;1
no ingreso correctamente;1
no ingreso;1
no ingresaba al sisitema en un inicio;1
ahahha;1
no ingres;1
no informa nada;1
no informa;1
no indique que pagina quiero ver a la vez peligrosa para que otras personas tengan acceso ya que el dni es documento de uso publico;1
no indica si el vehiculo esta como garantia en alguna entidad financiera;1
no indica propiedad;1
no indica mucha informacion;1
no indica las areas de los predios que se superponen a las partidas del estado;1
no indica en nombre del propietario;1
no indica el nombre del propietario si quisiera verificar con quien hago el contrato de alquiler;1
no indica el nombre del propietario;1
no limitar las busquedas a 3 ampliar a 10;1
no limitar la cantidad de busquedas por dni;1
no limitar el tiempo para informarse mejor;1
no limitar el tiempo de busqueda en pagina;1
no limitar el numero de ingresos por dia;1
no limitar busquedas;1
no lee no abre lo buscado;1
no le detalla nada nno;1
no le deja ver;1
no la pude ver completa;1
no la entiendo;1
no jodan con su encuesta;1
no jodan;1
no j;1
no ite descargar en pdf;1
no intuitivo no actualizado;1
no lo puedo descargar;1
no lo pude imprimir pero si me sirvio buen servicio lo necesitaba con urgencia;1
no lo podia ubicar con la opcion partida tuve que buscarlo por ubicacion en el plano;1
no lo entiendo todavia para buscar datos;1
ahah;1
ajustar grafica con el terreno;1
no lo encontre la base grafica;1
no lo encontre;1
no llegue a ver nombre del predio;1
no llegue a entender bien;1
no llegue a encontrar por el internet que se acabo el tiemppo;1
no llegue a encontrar el lote que nesecitaba;1
no llego a cargar probablemente se necesita una pc con ciertas capacidades minimas eso podria ser muchas gracias;1
no llego a cargar los predios que buscaba;1
no llega a buscar nada falla de sql;1
no limitar tiempo;1
no logre hacer consulta alguna;1
no logre encontrar lo que buscaba;1
no logre encontrar las medidas del predio consultado;1
no logre encontrar la partida matriz y demora mucho en encontrar con coordenadas;1
no logre encontrar la opcion para descargar el documento;1
no logre el objetivo;1
no logre descargar ni imprimir me gustaria que puedan activar la descarga de archivos muchas gracias;1
no logre descargar la partida ni cambiar la pagina;1
no logre acceder a la informacion que requiero puesto que no logre acceder a imagenes de referencia ni a mapas;1
no logra visualizar;1
no logra cargar su mapa;1
no lo ubique por tema de mi celular puse la direccion pero no me llevo al punto;1
no lo tengo;1
no lo se usar;1
no lo puedo usar complicado no sale las calles y no pude ubicar y asi no puedo ubicarme;1
no lo puedo imprimir;1
no logre visualizar las partidas;1
no logre visualizar la partida;1
no logre visualizar;1
no logre ver partida de interes;1
no logre ver ningun mapa;1
no logre ver ni un solo mapa probe con la direccion donde vivo y no sale nada;1
no logre ver nada;1
no logre ver mi partida solo me mostro una hoja;1
no logre ver la ultima hoja;1
no logre ver la mapa no se a que se debe;1
no logre ver la base grafica se demoro demasiado en visualizar;1
no logre ver la base al parecer fue por la conexion de mi internet;1
no logre ver el plano de indemnizacion;1
ajjs;1
no logre ubicar el inmueble se debe actualiar sus bases gracias;1
no logre ninguna informacion grafica;1
no logro vosualizar el numero de partidas de las anp s;1
no logro visualizar toda la partida registral no es amigable esta plataforma gracias;1
ajjaja;1
no logro visualizar el mapa;1
no logro ver la ubicacion q busco;1
ajilizar na busqueda;1
no logro ver la mapa satelital;1
no logro ver la ficha;1
no logro ver el resto de paginas;1
no logro ubicarme en los nombres de las avenidas calles;1
no logro ubicar su base grafica ninguna partida registral;1
no logro obtener mi asiento registral;1
no logro encontrar con los datos de unidad catastral solo lo encontre por ubicacion me parecio sencillo pero me gustaria que agregaran esa base de datos para la facil ubicacion del catastro;1
no logro cargar la vista despues de 3o minutos de espera;1
no logro acceder a las pags siguientes por lo que no vizualiso toda la informacion necesaria;1
no logre visualizar nada;1
no me aparece la imagen de la forma del terreno solo los datos y coordenadas pero me sirvio;1
no me aparece el tipo de predio del lugar que consulto;1
no me aparece el plano;1
no me aparece el mapa esta todo en blanco;1
no me aparece el mapa del mundo no puedo buscar nada;1
no me aparece el grafio del mapa;1
no me aparece algunos registros;1
no me aparece;1
no me agrada;1
no me aclara una informacion sobre las partidas registrales;1
no me;1
no manden de un lugar a otro;1
no m3 convencio;1
no m e permite imprimir;1
no luestra nada;1
no loque encontrar la propiedad inscrita revisare pero la informacion ayuda mucho;1
ajau;1
no me avisa si tiene un titulo bloquedo al consultar;1
no me atudo;1
no me atuda;1
no me atendio;1
no me arrojo porque no me da la informacion;1
no me aparecio nada;1
no me aparecio lo que buscaba tal vez me equivoque;1
no me aparecio informacion;1
no me aparecio en mi pc el plano;1
no me aparecio el mapa en la busqueda;1
no me aparecieron los documentos de la partida registral;1
ajajaj;1
no me aparece los nombres de los propietarios;1
no me aparece las fichas registrales en el google map;1
no me aparece la informacion actualizada;1
no me carga el mapa para realizar la visulizacion;1
aishhh papaaaa;1
no me carga el documento en pdf;1
no me carga adecuadamente los asientos;1
ai pe;1
no me busca la partida;1
no me brindo informacion no carga ninguna hoja para vizualizar esperare;1
no me brindo informacion;1
no me brindaron los datos si el carro esta prendado y que banco;1
no me brindan lo solicitado;1
no me brinda informacion;1
no me ayudo hoy;1
no me ayudo en nada si ingreso partida registral deberia visualizar el predio y no buscar en mapa grafica que dificulta tener el resultado;1
no me ayudo en nada predio ya inscrito no aparece;1
no me ayudo de mucho necesita ser mas preciso;1
no me cargo el archivo;1
no me cargo debe ser por es muy pisado el grafico o debe estar fallando algo porque google map me carga mas rapido;1
no me cargaron los mapas por ninguna de las 3 opciones;1
ai esta claro;1
no me carga nada;1
no me carga los predios ni sus partidas;1
no me carga los documentos;1
no me carga la vista del terreno;1
no me carga la partida;1
no me carga la pagina;1
no me carga la interfaz;1
no me carga la informacion completa;1
no me carga informacion;1
no me carga el visor grafico en ningun navegador de mi computadora;1
no me carga el plano de hace tiempo quiero saber por que sera me puede dar alguna sugerencia de correguir;1
no me carga el mapa solucionar error por favor;1
no me deja buscar por ruc;1
no me deja bajar el documento;1
no me deja apreciar las imagenes;1
no me da un resultado se queda buscando 3 sesiones seguidas;1
no me da opcion de ver mas informacion sobre los predios;1
no me da ninguna informacion;1
no me da la informacion que necesito;1
no me da acceso a las otras paginas solo a la ultima;1
no me cragan las ubicaciones;1
no me convence no poder imprimir como borrador aunque se lo que se visualiza;1
no me cargo ni la pagina;1
no me cargo lasa paginas;1
no me cargo las graficas probare en una macbook;1
no me cargo la opcion de ubicacion por punto de interes solo aparece el fondo blanco pero no se aprecia el globo terraqueo;1
no me cargo el visor de imagen;1
ahorro tiempo;1
no me deja imprimir no hay icono para imprimir tampoco esta activado boton izq para hacerlo manualmente;1
no me deja imprimir las hojas;1
ahorro de tiempo y economico;1
no me deja descargar por pdf cada documento;1
no me deja descargar la copia literal;1
no me deja descargar hoja resumen;1
no me deja descargar en pdf;1
no me deja descargar el documento;1
no me deja descargar el archivo;1
ahorro de tiempo;1
no me deja descansar;1
no me deja de ver la hoja resumen;1
no me deja consulta sin iniciar sesion de nuevo;1
no me deja capturar;1
no me deja cambiar de partida en la misma web;1
no me deja cambiar de partida;1
no me deja retroceder para realizar otra busqueda;1
no me deja retroceder para consultar otro predio;1
ahorra tiempo y dinero para los que necesitamos conocer solo donde se ubica el inmueble;1
ahorra tiempo y dinero;1
no me deja regrsar al inicio;1
no me deja regresar al inicio;1
no me deja regrasar a buscar ni descargar;1
no me deja realizar otra busqueda sin necesidad de salir;1
no me deja realizar la busqueda por paginas cuando marco el 2 se mantiene en la pagina creo que el paginado de la pagina se encuentra mal elaborado;1
no me deja pasar las paginas;1
no me deja pasar a otro asiento;1
no me deja la opcion de ver otros asientos de la misma partida;1
no me deja inprimir;1
no me deja imrpimri;1
no me deja imprimirrrrrr;1
no me deja visualizar el documento me sale como vacio;1
no me deja visualizar el contenido;1
no me deja verla;1
no me deja ver todas las hojas de la partida;1
no me deja ver otro numero de partida tengo que salir y volver a ingresar;1
no me deja ver mas partidas con un solo ingreso;1
no me deja ver mas de 3 partidas el mismo dia;1
no me deja ver mas;1
no me deja ver los demas asientos;1
no me deja ver la partida ptm;1
al descargar las coordenadas y graficar el poligono no da el area inscrita varia por poco pero varia arreglen eso y sera un excelente servicio;1
no me deja ver completo;1
no me deja ver bien los otros asientos solo el numero 3;1
al descargar las coordenadas de un predio ayudaria mucho que dentro del archivo tambien aparezca la informacion del numero de la partida registral del predio;1
no me deja retroceder sin que se salga la sesion;1
no me deja retroceder para ver otras partidas;1
no me dejo visualizar la partida de un inmueble;1
no me dejo visualizar la partida;1
al dar zoom no se visualiza bien gracias;1
no me dejo ver ningun documento;1
no me dejo ver la partida;1
al cargar los asientos en vehicular muchas veces sale mensaje no se puede cargar pero si intentas varias veces al final se muestra el asiento;1
al buscar un direccion de una casa me sale toda la manzana deberia salir el nombre del propietario de la casa no la informacion de toda la manzana ahora cuando busco por cordenadas se expiro mi tiempo y no pude encontrar el resultado;1
no me dejo ingrear;1
no me dejo descargar la hoja aplicacion;1
no me dejo abrir un asiento por mas que intente varias veces;1
no me dejar cerrar la encuesta;1
al buscar por partida refiere que no se encontro el predio graficado en la bgr;1
no me deja vizualizar;1
no me deja visualizar varias partidad por el tiempo determinado me dificulta ver;1
no me deja visualizar toda la partida;1
no me deja visualizar la hoja resumen;1
no me dio ningun resultado para ver;1
no me dio los datos que buscaba cuando busco otro predio me manda el mismo numero de partida registral;1
no me dio la infrmacion;1
no me dio la informacion que solicite;1
no me dio la informacion exacta de mi predio;1
no me dio la informacion;1
no me dio informacion;1
no me dieron resultados;1
no me dieron resultado;1
no me dieron mucha informacion;1
no me dieron lo que pedi me enviaron un correo espero me envien la bgr;1
no me dieron la informacion completa en oficina;1
no me dice si hay gravamenes;1
no me descarga el pdf;1
no me descarga el excel;1
no me dejo visualizar la partida registral que busque;1
no me gusta nada;1
no me gusta el limite;1
no me gusta buscar otra partida inciando sesion denuevo;1
al buscar la pagina debe ser mas facil de encontrar;1
no me gista que me obligen a responder;1
no me funciono;1
no me fue util;1
no me fue facil;1
no me figura lo que buscaba;1
no me facilita impresion y limita tramites gracias;1
no me evia lo solicitado;1
no me dio toda la informacion pero si bueno;1
no me dio tiempo de revisar por la extension de la partida;1
no me dio tiempo;1
no me dio opcion a imprimir ni guardar solo visunizar;1
no me dio ninguna informacion;1
no me la la solucion;1
no me indica por que aparece alerta registral;1
no me imagino nada mejor;1
no me hasalido nada por lo tanto el servicio s pesimo que hago;1
no me han mostrado la opcion para mi tarjeta de propiedad vehicular;1
no me ha servido;1
no me ha dejado ver una de las paginas;1
no me ha cargado el documento;1
no me gusto sorry;1
no me gusto el servicio;1
al buscar con la direccion no aparece solo referencias de lima mas no de otras ciudades o distritos del pais;1
no me gusta su web;1
no me gusta que tenga que perder tiempo para buscar informacion;1
no me gusta que para buscar otra partida haya que iniciar sesion denuevo;1
no me gusta que me obliguen a comentar y calificar la app;1
no me gusta que este entrando de nuevo cada que quiero consultar otra consulta xd;1
no me muestran el ultimo asiento se supone que deseo ver la ultima hoja no la primera;1
no me muestra nada me dice que no se puede visualizar;1
al aprecer se sobrecarga el servidor y limita el acceso;1
no me muestra la pagina de la partida;1
no me muestra la pagina;1
no me muestra la informacion requerida;1
no me muestra la informacion completa;1
no me muestra la hoja resumen;1
no me mostro reaultados graficos;1
no me mostro ningun grafico registral solo solo muestra expiro luego de un tiempo;1
al alcanse detodos los propietarios oportuna y veras;1
no me mostro las partidas;1
no me mostro la partida registral;1
no me mostro;1
no me llevo al predio hay que ubicarlo manualmente uno espera obtener mas datos en una plataforma como estas por lo menos obtener una grafica de referencia muy pobre el servicio;1
no me lacanzo el tiempo muchos asientos;1
no me permite imprimir la informacion;1
no me permite imprimir;1
no me permite descargar una copia;1
no me permite descargar los documentos;1
no me permite descargar las partidas pesimo servicio 0 estrellas;1
no me permite descargar la imagen;1
no me permite descargar es un documento importante que necesito presentar;1
no me permite descargar el pdf de visualizacion;1
no me permite descargar el documento;1
no me permite descargar el archivo;1
al abrir un acto por momentos no abre el archivo al primer intento gracias por su servicio;1
no me permite descagar docuementos;1
no me permite buscar varias partidas a la vez debo iniciar la sesion por cada partida;1
no me permite;1
no me pemirte descargar;1
no me parece bien que obliguena responder la encuesta;1
no me permite ver el asiento 1;1
al abrir el portal de sunarp seria bueno que haya como para llamr la atencion e ingresar a conoce aqui demore ingresando por otros link y hasta que llegue de casualidad gracias de todos modos;1
no me permite seguir conectado luego de una revision;1
no me permite salir y buscar mas;1
no me permite revisar mas de una partida por el caso que yo tengo 3 propiedades y tengo que acceder 3 veces al sistema;1
no me permite retroceder no hay un manual de uso y es muy cortoel tiempo de duracion de la sesion;1
no me permite retroceder la pagina una vez ingresado a la vista partida para poder ingresar otra busqueda y cuando seleciono el botos salir me regresa al iniciar sesion ademas de aparecerme un mensaje que dice ya tienes un tiempo con una sesion iniciada;1
no me permite retroceder;1
no me permite regresar al buscador para ver otros predios;1
no me permite recuperar mi contrasena;1
no me permite inprimir una copia seria bueno que lo permitieran una copia no oficial al menos gracias;1
no me permite ingresar otro numero de partida;1
no me permite ingresar de la computadora;1
no me permite ingresar;1
al 100 solo ves un pedacito de hoja;1
no me permite imprimir los documentos;1
akjk bdvcindfzsouvbns;1
akdfnlaf;1
no me permite visualizar la base grafica;1
no me permite visualizar el mapa con la propiedad;1
no me permite visualizar coordenadas;1
no me permite visualizar;1
no me permite ver todas las hojas;1
no me permite ver otra partida;1
no me permite ver los accionistas de la propiedad;1
no me permite ver las siguientes paginas;1
no me permite ver las partidas;1
no me permite ver las medidas del terreeno;1
no me permite ver la partida;1
no me permite ver la informacion sobre las deudas del inmueble solo me dicen que ese inmueble si le pertenece a esa persona pero eso ya yo lo se;1
no me permite ver la informacion de los m2;1
no me permite ver el documento;1
no me queda claro como puedo obtener el documento en pdf es a traves de otra plataforma deberia de darme la alternativa a traves de esta plataforma previo pago;1
no me pude ingresar al servicio osea obtener informacion disculpen gracias;1
no me pongan mas trabas para ingresar a realizar busquedas;1
no me permitio visualizar la propiedad;1
no me permitio visualizar la partida;1
no me permitio ver otros asientos solo el ultimo asiento;1
no me permitio ver mi partida registral no disponible;1
no me permitio ver la partida registral;1
no me permitio realizar la verificacion del registro que esta a mi nombre;1
no me permitio mirar el documento;1
no me permitio la visualizacion de mi copia literal;1
no me permitio la visualizacion;1
no me permiten recuperar mi tiempo para hacer otra busqueda;1
no me permite visulaizr partidas;1
no me permite visualizar todo los asientos;1
no me permite visualizar la partida con p;1
no me salio;1
no me sale una casa;1
no me sale no se si es mi internet o la pagina;1
no me sale nada;1
no me sale mi hoja sale en blanco;1
no me sale lo que busco;1
no me sale la vista satelital;1
no me sale la inf;1
no me sale el ultimo registro por que;1
no me sale el registro;1
no me sale el numero de asiento;1
akdfjkgf;1
al momento excelente;1
no me resulto tan sencillo encontrar la posibilidad de compra de la partida puede ser mas intuitivo;1
no me resolvio mis dudas;1
no me queda claro cuando en observaciones dice se ha actualizado la orientacion del poligono y este discrepa del poligono inmatriculado;1
no me ubico en la zona de la partida se colgo;1
no me ubico bien en la busqueda;1
no me sirvio no obtuve lo que quise;1
no me sirvio no es amigable con un celular iphone;1
no me sirvio de nada perdi mi tiempo;1
no me sirvio;1
no me sireve sin impresion;1
al momento de verificar los tramites son correctos lo que se deberia implementar es la impresion directa de cada asiento para realizar la busqueda mas rapida y no ir hasta siguelo para imprimir;1
no me salio ninguna informacion de partidas registrales;1
no me salio ningun mapa estaba en blanco;1
no me salio nadaaaaaaa;1
no me salio la previsualizacion;1
no me salio la partida;1
no me salio el titular de la partida registral;1
no me salio el mapa;1
no me salio el grafico;1
al momento de salir que se redirija para hacer otra consulta es tedioso volver a entrar de nuevo;1
no mostro informacion;1
no mostrar este mensaje;1
no mostraban la partida;1
no mostraba los registros pagina en blanco;1
no molestes;1
no molesten dejen trabajar;1
al momento de revisar los asientos se tiene que bajar nuevamente hasta la siguiente hoja lo que hace dificil su busqueda;1
no modificaron nada de lo que fui a tramitar;1
no menciona los socios y cuanto es su aporte que aparece en la partida registral;1
no menciona al dueno del predio;1
no mejora nada no se puede ver ninguna base grafica;1
no medeja vusalizar no se cargan las paginas;1
no mecatendieron bien;1
no me visualiza ver mi predio de la provincia de castilla;1
no me visualiza el satelital;1
no muestra la informacion solicitada el excel es muy escaso y el plano no se visualiza si no es una computadora de alta potencia;1
no muestra la escala del plano o las coordenadas geograficas;1
no muestra informacion alguna;1
no muestra imagen bgr;1
no muestra el total de predios;1
no muestra el titular;1
no muestra el mapa para ver propiedades en ilo moquegua tampoco aceptala direccion exacta;1
no muestra el lugar;1
no muestra el cettificado;1
no muestra documento;1
no muestra;1
no mucho;1
no mostro visualizacion de lote inscrito en la partida;1
no mostro ninguna informacion;1
no mostro ninguna base grafica intente varias veces y no alcance a ver ninguna base grafica;1
no mostro ningun plano;1
no muestra todas;1
no muestra toda la historia registral sino solo el ultimo asiento;1
no muestra suficiciente informacion;1
no muestra si oder sigue vigente;1
no muestra resultados;1
no muestra ninguna informacion exacta;1
no muestra nada;1
no muestra los titulos archivados;1
no muestra los predios inscritos;1
no muestra los numeros de la partida en ningun lado;1
no muestra los actos;1
no muestra lo q se quiere;1
no muestra las calles;1
no muestra las bases;1
no muestra la partida completa solo la ultima hoja;1
no muestra la partida completa;1
no no se puede visualizar todas las paginas solo algunas;1
no no puedo visualizar los documentos;1
no no carga la ni una partida registral;1
no neceitan pedir datos del dni solo el numero para revisar en caso de emergencia;1
no nada pesimo programa;1
al momento de realizar la busqueda no solicitar oficina ni tipo porque ese dato a veces no lo tiene el ciudadano solo bastaria con su dni o numero de partida o folio;1
no muy util para mi sera porque recien lo utilizo;1
no muy satisfecho a veces no se puede visualizar el resumen por no decir todos los dias;1
no muy lento no encontre lo que buscaba;1
no muy claro;1
no muy bueno;1
al momento de digitar por primera vez el numero de partida registral siempre aparece un error y se debe volver a consignar el numero para que inicie la busqueda;1
no muetsra la imagen del predio soliicyado;1
no muestras todos los documentos;1
al momento de consultar otra partida no deberia cerrarse la sesion no da la opcion de regresar;1
no muestra todos los asientos registrales correspondientes al predio;1
no olbligar a llenar encuesta;1
no olbligar;1
no oiedo enrrr mo uedo acceder mo;1
no ofrece nada este portal soo visualizo en mapa mundi y cual es la novedad;1
no obtuve la informacion necesaria;1
no obstante que el registrador hizo la inscripcion del inmueble con fecha 19 de setiembre aun no se puede visualizar sigue arrojando solo la insceipcion original alguna razon;1
no obliguen hacer encuestas;1
no obligar hacer encuestas;1
no obligar encuestas;1
al momento de buscar un predio urbano y darle en vista de pdf no carga ya ah pasado varias veces y no es un tema de internet solucionar porfavor;1
no obligar encuensta;1
no obligar;1
no obligae encuesta;1
no nos permite visualizar las partidas solo nos muestra 1 y es la que ustedes eligen no nos apoya en mucho;1
no nos deja imprimir o al menos indicar el porque;1
no nogro visualizar la primera pagina;1
